,neg,neu,pos,compound
519,0.0,0.602,0.398,0.5106
520,0.0,1.0,0.0,0.0
521,0.0,1.0,0.0,0.0
522,0.0,1.0,0.0,0.0
523,0.0,0.885,0.115,0.0772
524,0.0,1.0,0.0,0.0
525,0.0,1.0,0.0,0.0
526,0.0,1.0,0.0,0.0
527,0.0,1.0,0.0,0.0
528,0.0,1.0,0.0,0.0
529,0.0,0.674,0.326,0.4404
530,0.0,1.0,0.0,0.0
531,0.0,1.0,0.0,0.0
532,0.0,1.0,0.0,0.0
533,0.167,0.833,0.0,-0.296
534,0.0,0.874,0.126,0.7096
535,0.0,1.0,0.0,0.0
536,0.0,1.0,0.0,0.0
537,0.0,1.0,0.0,0.0
538,0.0,0.763,0.237,0.7096
539,0.0,1.0,0.0,0.0
540,0.116,0.798,0.086,-0.3818
541,0.0,0.594,0.406,0.6249
542,0.0,0.889,0.111,0.3612
543,0.655,0.345,0.0,-0.2263
544,0.434,0.566,0.0,-0.3182
545,0.0,1.0,0.0,0.0
546,0.306,0.694,0.0,-0.296
547,0.0,1.0,0.0,0.0
548,0.12,0.667,0.213,0.34
549,0.0,1.0,0.0,0.0
550,0.0,1.0,0.0,0.0
551,0.068,0.87,0.062,-0.0516
552,0.0,1.0,0.0,0.0
553,0.0,0.823,0.177,0.6486
554,0.179,0.821,0.0,-0.3412
555,0.0,1.0,0.0,0.0
556,0.0,1.0,0.0,0.0
557,0.0,0.916,0.084,0.2975
558,0.0,1.0,0.0,0.0
559,0.0,1.0,0.0,0.0
560,0.0,1.0,0.0,0.0
561,0.083,0.8,0.117,0.2732
562,0.0,0.913,0.087,0.5719
563,0.0,0.751,0.249,0.8074
564,0.0,1.0,0.0,0.0
565,0.0,1.0,0.0,0.0
566,0.0,1.0,0.0,0.0
567,0.0,1.0,0.0,0.0
568,0.0,1.0,0.0,0.0
569,0.0,1.0,0.0,0.0
570,0.0,1.0,0.0,0.0
571,0.0,0.609,0.391,0.5927
572,0.0,1.0,0.0,0.0
573,0.0,1.0,0.0,0.0
574,0.0,0.339,0.661,0.5994
575,0.0,0.444,0.556,0.3612
576,0.0,1.0,0.0,0.0
577,0.0,1.0,0.0,0.0
578,0.0,0.798,0.202,0.9081
579,0.0,1.0,0.0,0.0
580,0.0,0.955,0.045,0.1027
581,0.0,1.0,0.0,0.0
582,0.063,0.801,0.137,0.5719
583,0.159,0.771,0.07,-0.4033
584,0.2,0.8,0.0,-0.3612
585,0.0,0.838,0.162,0.4404
586,0.166,0.834,0.0,-0.7615
587,0.226,0.701,0.074,-0.872
588,0.0,1.0,0.0,0.0
